File_Name,Lat,Lon
72030464752,40.1,-75.26667
72032464753,40.43528,-75.38194
72040700462,39.9275,-74.2923
72040800136,39.983,-75.867
72054500169,41.384,-72.506
72055399999,40.701214,-74.009028
72058100178,40.617,-74.25
72209864761,40.95956,-72.25183
72215114794,41.34972,-71.79889
72224754785,40.62405,-74.66905
72225664774,42.09833,-70.67222
72407493780,39.94075,-74.84083
72407754779,41.00928,-74.73633
72408013739,39.87327,-75.22678
72408454760,40.18333,-74.13333
72408594732,40.07892,-75.01341
72409014780,40.03333,-74.35
72409454743,40.87639,-74.28306
72409514792,40.27679,-74.81594
72409614706,40.01667,-74.6
72409754738,40.8,-74.41667
72501454780,41.07306,-71.92333
72501504789,41.50917,-74.265
72501654790,40.82167,-72.86889
72502014734,40.6825,-74.1694
72502594741,40.85,-74.06139
72502754788,41.50972,-72.82778
72502964707,41.48333,-73.13333
72503014732,40.77944,-73.88035
72503614757,41.62574,-73.88156
72503794745,41.06236,-73.70463
72503814714,41.5,-74.1
72504094702,41.16422,-73.12669
72504514758,41.26389,-72.88722
72504614707,41.3275,-72.04944
72505004781,40.79388,-73.10189
72505394728,40.77898,-73.96925
72505464710,41.92056,-71.49111
72505894793,41.16806,-71.57778
72505914702,42.47,-71.28944
72506014756,41.25306,-70.06083
72506114704,41.65,-70.51667
72506454769,41.90972,-70.72944
72506594726,41.67639,-70.95833
72506694724,41.39306,-70.615
72506794720,41.66861,-70.28
72506854777,41.87556,-71.02111
72506994624,41.6875,-69.99333
72507014765,41.7225,-71.4325
72507364708,42.07194,-70.22111
72507454752,41.59713,-71.41213
72507554768,42.69728,-73.16967
72507914787,41.53333,-71.28333
72508014740,41.9375,-72.6819
72508454767,41.74194,-72.18361
72508554756,42.57,-72.29111
72508654734,41.37139,-73.48278
72508714752,41.73611,-72.65056
72508854733,42.58417,-70.9175
72509014739,42.3606,-71.0097
72509854704,42.19083,-71.17361
72510094746,42.2706,-71.8731
72510314712,40.37338,-75.95924
72510704780,42.55194,-71.75583
72510954782,40.23802,-75.55493
72511354786,40.33015,-75.12292
72511654737,40.12028,-76.29444
72513014777,41.3336,-75.7269
72514554746,41.70139,-74.795
72515004725,42.2068,-75.98
72516594737,43.53333,-72.95
72517014737,40.64985,-75.44771
72518014735,42.74722,-73.79912
72519014771,43.1111,-76.1038
72519664775,43.23389,-75.41167
72522014750,43.33845,-73.61028
72543454789,41.13889,-75.37944
72605014745,43.2049,-71.50274
72605504743,43.08333,-70.81667
72605654791,43.27806,-70.92222
72606014764,43.64222,-70.30444
72606464709,43.39361,-70.70778
72611554740,43.34361,-72.51778
72611694765,43.62639,-72.30472
72615554736,43.56667,-71.43333
72616354770,42.805,-72.00361
72616594721,42.9,-72.26667
72616654781,42.89351,-73.24876
74000154793,41.19924,-74.62599
74394514710,42.92963,-71.43566
74394654754,42.78333,-71.51667
74410414763,42.42685,-73.28907
74486094789,40.63915,-73.76401
74486454787,40.73417,-73.41694
74486514719,40.84361,-72.63222
74490494723,42.71722,-71.12389
74490714753,42.2123,-71.1137
74491014703,42.2,-72.53333
74491514775,42.15778,-72.71611
74499404741,42.85,-73.95
99404699999,41.28,-70.1
99414099999,41.4,-71.03
99427099999,42.97,-70.62
99475099999,41.31,-72.08
99497199999,42.35,-71.05
99727199999,40.701,-74.014
99727299999,40.639,-74.146
99727399999,41.7,-71.17
99727499999,41.52,-70.67
99727599999,43.65,-70.25
99727799999,41.72,-71.33
99727899999,41.8,-71.4
99727999999,41.7,-71
99728099999,40.8,-73.77
99728299999,41.05,-71.97
99728399999,41.35,-72.08
99728499999,41.28,-72.88
99728599999,41.5,-71.32
99728699999,39.93,-75
99728899999,41.58,-71.4
99728999999,40.47,-74
99729099999,41.17,-73.18
99729499999,41.637,-71.339
99737299999,39.9,-75.57
99768799999,40.08,-74.88
99769899999,40.8,-74.75
99770799999,43.32,-70.55
99774399999,40.65,-74.0666666
99799199999,42.0166666,-73.9166666
99799399999,43.05,-70.8333333
99800499999,41.6333333,-71.3333333
99801499999,41.5833333,-70.5166666
99801599999,43.3333333,-70.55
99826599999,39.8166666,-75.4166666
99999900379,40.567,-75.483
99999903761,39.8593,-75.7861
99999954794,43.1716,-70.9277
99999954795,43.1092,-70.9484
99999954796,41.4911,-71.5413
99999954797,41.4782,-71.5417
99999964756,41.7857,-73.7422
